longitude,latitude,population,households,housing_median_age,median_income,ocean_proximity,population_per_household,bedrooms_per_household,rooms_per_household,median_house_value
-122.23,37.88,322.0,126.0,41.0,8.3252,NEAR BAY,2.5555555555555554,0.14659090909090908,6.984126984126984,452600.0
-122.22,37.86,2401.0,1138.0,21.0,8.3014,NEAR BAY,2.109841827768014,0.15579659106916466,6.238137082601054,358500.0
-122.24,37.85,496.0,177.0,52.0,7.2574,NEAR BAY,2.8022598870056497,0.12951601908657123,8.288135593220339,352100.0
-122.25,37.85,558.0,219.0,52.0,5.6431,NEAR BAY,2.547945205479452,0.18445839874411302,5.8173515981735155,341300.0
-122.25,37.85,565.0,259.0,52.0,3.8462,NEAR BAY,2.1814671814671813,0.1720958819913952,6.281853281853282,342200.0
-122.25,37.85,413.0,193.0,52.0,4.0368,NEAR BAY,2.139896373056995,0.23177366702937977,4.761658031088083,269700.0
-122.25,37.84,1094.0,514.0,52.0,3.6591,NEAR BAY,2.1284046692607004,0.19289940828402366,4.9319066147859925,299200.0
-122.25,37.84,1157.0,647.0,52.0,3.12,NEAR BAY,1.7882534775888717,0.22132731958762886,4.797527047913447,241400.0
-122.26,37.84,1206.0,595.0,42.0,2.0804,NEAR BAY,2.026890756302521,0.2602739726027397,4.294117647058823,226700.0
-122.25,37.84,1551.0,714.0,52.0,3.6912,NEAR BAY,2.172268907563025,0.1992110453648915,4.970588235294118,261100.0
-122.26,37.85,910.0,402.0,52.0,3.2031,NEAR BAY,2.263681592039801,0.19709355131698456,5.477611940298507,281500.0
-122.26,37.85,1504.0,734.0,52.0,3.2705,NEAR BAY,2.0490463215258856,0.2146731373108764,4.772479564032698,241800.0
-122.26,37.85,1098.0,468.0,52.0,3.075,NEAR BAY,2.3461538461538463,0.1902850260939382,5.322649572649572,213500.0
-122.26,37.84,345.0,174.0,52.0,2.6736,NEAR BAY,1.9827586206896552,0.2744252873563218,4.0,191300.0
-122.26,37.85,1212.0,620.0,52.0,1.9167,NEAR BAY,1.9548387096774194,0.23685206205069997,4.262903225806451,159200.0
-122.26,37.85,697.0,264.0,50.0,2.125,NEAR BAY,2.640151515151515,0.2526785714285714,4.242424242424242,140000.0
-122.27,37.85,793.0,331.0,52.0,2.775,NEAR BAY,2.395770392749245,0.17650050864699898,5.9395770392749245,152500.0
-122.27,37.85,648.0,303.0,52.0,2.1202,NEAR BAY,2.1386138613861387,0.23859934853420195,4.052805280528053,155500.0
-122.26,37.84,990.0,419.0,50.0,1.9911,NEAR BAY,2.3627684964200477,0.20321572130415363,5.343675417661098,158700.0
-122.27,37.84,690.0,275.0,52.0,2.6033,NEAR BAY,2.5090909090909093,0.19827012641383898,5.465454545454546,162900.0
-122.27,37.85,409.0,166.0,40.0,1.3578,NEAR BAY,2.463855421686747,0.24500665778961384,4.524096385542169,147500.0
-122.27,37.85,929.0,366.0,42.0,1.7135,NEAR BAY,2.5382513661202184,0.2239170225747407,4.478142076502732,159800.0
-122.27,37.84,1015.0,478.0,52.0,1.725,NEAR BAY,2.1234309623430963,0.22208538587848933,5.096234309623431,113900.0
-122.27,37.84,853.0,325.0,52.0,2.1806,NEAR BAY,2.624615384615385,0.19964454976303317,5.193846153846154,99700.0
-122.27,37.84,1006.0,422.0,52.0,2.6,NEAR BAY,2.3838862559241707,0.19649280575539568,5.270142180094787,132600.0
-122.28,37.85,317.0,119.0,41.0,2.4038,NEAR BAY,2.6638655462184873,0.22990654205607478,4.495798319327731,107500.0
-122.28,37.85,607.0,239.0,49.0,2.4597,NEAR BAY,2.5397489539748954,0.215929203539823,4.7280334728033475,93800.0
-122.28,37.85,1102.0,397.0,52.0,1.808,NEAR BAY,2.7758186397984885,0.22181243414120128,4.7808564231738035,105500.0
-122.28,37.84,1131.0,473.0,50.0,1.6424,NEAR BAY,2.3911205073995774,0.23631123919308358,4.40169133192389,108900.0
-122.28,37.84,395.0,155.0,52.0,1.6875,NEAR BAY,2.5483870967741935,0.2194787379972565,4.703225806451613,132000.0
-122.28,37.84,863.0,378.0,49.0,1.9274,NEAR BAY,2.2830687830687832,0.23329853862212943,5.068783068783069,122300.0
-122.28,37.84,1168.0,441.0,52.0,1.9615,NEAR BAY,2.6485260770975056,0.22340919647004182,4.882086167800454,115200.0
-122.27,37.84,1026.0,335.0,48.0,1.7969,NEAR BAY,3.062686567164179,0.21279916753381894,5.737313432835821,110400.0
-122.27,37.83,754.0,329.0,49.0,1.375,NEAR BAY,2.291793313069909,0.22114803625377644,5.0303951367781155,104900.0
-122.27,37.83,1258.0,536.0,51.0,2.7303,NEAR BAY,2.3470149253731343,0.2153846153846154,4.972014925373134,109700.0
-122.27,37.83,570.0,264.0,49.0,1.4861,NEAR BAY,2.159090909090909,0.23209876543209876,4.6022727272727275,97200.0
-122.27,37.83,987.0,374.0,48.0,1.0972,NEAR BAY,2.6390374331550803,0.24026696329254726,4.807486631016043,104500.0
